  0.0099551   -3.4983289
  0.0100745   -3.4983250
  0.0101954   -3.4983211
  0.0103178   -3.4983171
  0.0104416   -3.4983131
  0.0105669   -3.4983089
  0.0106937   -3.4983046
  0.0108220   -3.4983002
  0.0109519   -3.4982957
  0.0110833   -3.4982910
  0.0112163   -3.4982863
  0.0113509   -3.4982815
  0.0114871   -3.4982765
  0.0116249   -3.4982715
  0.0117644   -3.4982663
  0.0119056   -3.4982609
  0.0120485   -3.4982555
  0.0121931   -3.4982499
  0.0123394   -3.4982442
  0.0124874   -3.4982383
  0.0126373   -3.4982323
  0.0127889   -3.4982262
  0.0129424   -3.4982199
  0.0130977   -3.4982135
  0.0132549   -3.4982069
  0.0134139   -3.4982001
  0.0135749   -3.4981932
  0.0137378   -3.4981861
  0.0139027   -3.4981788
  0.0140695   -3.4981714
  0.0142383   -3.4981638
  0.0144092   -3.4981560
  0.0145821   -3.4981480
  0.0147571   -3.4981398
  0.0149342   -3.4981315
  0.0151134   -3.4981229
  0.0152947   -3.4981141
  0.0154783   -3.4981051
  0.0156640   -3.4980959
  0.0158520   -3.4980864
  0.0160422   -3.4980768
  0.0162347   -3.4980669
  0.0164295   -3.4980567
  0.0166267   -3.4980464
  0.0168262   -3.4980357
  0.0170281   -3.4980248
  0.0172325   -3.4980137
  0.0174393   -3.4980023
  0.0176485   -3.4979906
  0.0178603   -3.4979786
  0.0180746   -3.4979663
  0.0182915   -3.4979538
  0.0185110   -3.4979409
  0.0187332   -3.4979277
  0.0189580   -3.4979142
  0.0191855   -3.4979004
  0.0194157   -3.4978863
  0.0196487   -3.4978718
  0.0198845   -3.4978569
  0.0201231   -3.4978417
  0.0203645   -3.4978261
  0.0206089   -3.4978102
  0.0208562   -3.4977939
  0.0211065   -3.4977771
  0.0213598   -3.4977600
  0.0216161   -3.4977425
  0.0218755   -3.4977245
  0.0221380   -3.4977061
  0.0224036   -3.4976872
  0.0226725   -3.4976679
  0.0229446   -3.4976482
  0.0232199   -3.4976279
  0.0234985   -3.4976072
  0.0237805   -3.4975860
  0.0240659   -3.4975642
  0.0243547   -3.4975419
  0.0246469   -3.4975191
  0.0249427   -3.4974958
  0.0252420   -3.4974719
  0.0255449   -3.4974474
  0.0258514   -3.4974223
  0.0261617   -3.4973966
  0.0264756   -3.4973703
  0.0267933   -3.4973433
  0.0271148   -3.4973157
  0.0274402   -3.4972874
  0.0277695   -3.4972585
  0.0281027   -3.4972288
  0.0284400   -3.4971985
  0.0287812   -3.4971674
  0.0291266   -3.4971355
  0.0294761   -3.4971029
  0.0298298   -3.4970695
  0.0301878   -3.4970353
  0.0305501   -3.4970002
  0.0309167   -3.4969644
  0.0312877   -3.4969276
  0.0316631   -3.4968900
  0.0320431   -3.4968514
  0.0324276   -3.4968120
  0.0328167   -3.4967715
  0.0332105   -3.4967301
  0.0336090   -3.4966877
  0.0340124   -3.4966443
  0.0344205   -3.4965998
  0.0348335   -3.4965543
  0.0352515   -3.4965076
  0.0356746   -3.4964599
  0.0361027   -3.4964110
  0.0365359   -3.4963608
  0.0369743   -3.4963095
  0.0374180   -3.4962570
  0.0378670   -3.4962032
  0.0383214   -3.4961480
  0.0387813   -3.4960916
  0.0392467   -3.4960338
  0.0397176   -3.4959746
  0.0401942   -3.4959140
  0.0406766   -3.4958519
  0.0411647   -3.4957883
  0.0416587   -3.4957231
  0.0421586   -3.4956564
  0.0426645   -3.4955881
  0.0431764   -3.4955182
  0.0436946   -3.4954465
  0.0442189   -3.4953732
  0.0447495   -3.4952980
  0.0452865   -3.4952211
  0.0458300   -3.4951423
  0.0463799   -3.4950615
  0.0469365   -3.4949789
  0.0474997   -3.4948942
  0.0480697   -3.4948075
  0.0486465   -3.4947187
  0.0492303   -3.4946278
  0.0498211   -3.4945347
  0.0504189   -3.4944393
  0.0510240   -3.4943417
  0.0516362   -3.4942416
  0.0522559   -3.4941392
